Unnamed: 0,limit_bal,sex,education,marriage,age,payment_status_sep,payment_status_aug,payment_status_jul,payment_status_jun,payment_status_may,payment_status_apr,bill_statement_sep,bill_statement_aug,bill_statement_jul,bill_statement_jun,bill_statement_may,bill_statement_apr,previous_payment_sep,previous_payment_aug,previous_payment_jul,previous_payment_jun,previous_payment_may,previous_payment_apr,default_payment_next_month
15534,200000,Male,University,Single,35.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,27784,33877,35420,26609,25392,23367,10000,10000,2000,5000,5000,1000,0
12981,500000,Female,Graduate school,Single,51.0,Payed duly,Payed duly,Payed duly,Payed duly,Payed duly,Payed duly,187,369,535,-13,20807,20897,370,537,0,20911,21001,88,0
23003,250000,Female,Graduate school,Married,32.0,Payment delayed 1 month,Payed duly,Unknown,Unknown,Unknown,Unknown,-154973,59514,220765,180488,173140,170233,225066,198031,6069,4310,5752,4638,0
2235,140000,Female,University,Married,26.0,Unknown,Unknown,Unknown,Unknown,Unknown,Payed duly,37283,24748,21854,21711,25999,902,7023,5080,10000,6000,902,18542,0
13515,20000,Female,High school,Single,24.0,Payment delayed 1 month,Payed duly,Payed duly,Unknown,Unknown,Unknown,-8,4485,0,0,0,0,13148,433,0,0,0,0,1
13645,230000,Male,University,Single,32.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,143345,134344,116691,116220,112746,108653,6000,5000,5000,5000,5000,5038,0
13833,20000,Female,University,Single,43.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,20212,20749,19930,15961,20107,19275,1415,1400,421,6000,3000,13000,0
3289,270000,Female,University,Married,41.0,Payed duly,Payment delayed 2 months,Payed duly,Unknown,Payed duly,Payed duly,832,416,832,416,566,416,0,832,0,566,416,416,0
23421,310000,Female,University,Married,32.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,69886,70950,71403,69478,53786,52791,2177,2216,1879,1563,2000,1539,0
1452,50000,Male,University,Married,54.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1583,2134,0,2025,0,1924,2134,0,2025,0,1924,0,0
15715,270000,Male,,Married,39.0,Unknown,Unknown,Unknown,Unknown,Payed duly,Payed duly,10648,0,15332,9094,225604,7443,0,3119,9124,225616,7443,69550,0
29926,50000,Male,High school,Married,46.0,Payment delayed 3 months,Payment delayed 3 months,Payment delayed 2 months,Unknown,Unknown,Unknown,53418,52281,51173,50033,9779,9924,0,7,1104,445,400,204,0
25065,240000,Male,High school,Married,50.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,140233,134223,130372,128921,120048,121292,4754,4873,5033,4204,4509,5009,0
3531,160000,Female,High school,Single,41.0,Payed duly,Payment delayed 2 months,Payment delayed 2 months,Unknown,Unknown,Unknown,26736,29052,28328,29099,29724,30624,3000,0,1200,1200,1500,2000,0
14232,80000,Male,Graduate school,Single,32.0,Payed duly,Unknown,Unknown,Unknown,Payed duly,Payed duly,14939,14457,2312,1156,1156,1469,1000,2000,0,1156,1469,0,0
28185,80000,Female,Graduate school,Single,33.0,Payment delayed 1 month,Payment delayed 2 months,Unknown,Unknown,Unknown,Unknown,83367,81409,78790,80567,78047,82942,0,2873,3101,3000,6328,0,1
23842,250000,Female,University,Married,52.0,Unknown,Unknown,Unknown,Unknown,Unknown,Payed duly,1376,4038,313,316,657,993,4038,313,316,657,993,3039,1
18194,450000,Male,High school,Single,38.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,322402,301522,290124,281667,289459,262269,15000,11000,10013,20000,30000,30000,0
1237,60000,Male,Graduate school,Married,33.0,Payed duly,Payed duly,Payed duly,Payed duly,Payed duly,Payed duly,8308,7565,8373,7565,7565,7565,7565,8373,7565,7565,7565,7565,0
6258,460000,Male,Graduate school,Single,34.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,45358,42991,45848,50875,56479,50889,2613,7021,10019,10051,10046,5016,0
26293,80000,Female,University,Single,34.0,Payment delayed 1 month,Unknown,Payed duly,Payed duly,Payed duly,Unknown,-3,-3,1266,1347,2495,1248,0,1269,1351,2498,3,0,0
14445,60000,Female,University,Single,24.0,Payment delayed 1 month,Payment delayed 2 months,Unknown,Unknown,Unknown,Unknown,60425,57786,55272,55925,57063,48228,28,2500,2000,2030,2100,3500,1
10880,50000,Female,University,,23.0,Unknown,Unknown,Unknown,Unknown,Payed duly,Unknown,50643,50199,23986,-17250,20129,20502,2741,2079,2177,41608,713,837,0
25033,20000,Male,University,Married,55.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,16734,17748,18384,18976,18955,18983,1300,1314,1296,665,710,693,1
10355,180000,Male,Graduate school,Married,44.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,18896,20166,16995,15324,6758,5730,2006,6995,282,0,200,0,0
9502,80000,Female,University,Others,52.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,63134,57072,55618,50345,52031,53141,2087,2019,2000,2500,2095,2002,0
7638,20000,Male,High school,Single,32.0,Unknown,Unknown,Unknown,Unknown,Payment delayed 2 months,Payment delayed 2 months,4338,5355,6369,6891,6635,7287,1092,1106,628,0,762,0,0
3576,500000,Female,Graduate school,Single,37.0,Payed duly,Payed duly,Payed duly,Payed duly,Unknown,Unknown,4168,19169,22893,52002,16521,-38,19169,22893,53198,0,0,12000,0
16289,100000,Female,High school,Married,41.0,Payment delayed 1 month,Payment delayed 2 months,Payment delayed 2 months,Payment delayed 2 months,Unknown,Unknown,102250,97551,101882,98311,97546,101281,0,8900,0,3500,7570,0,1
6984,20000,Male,High school,Single,43.0,Payed duly,Unknown,Unknown,Payed duly,Unknown,Unknown,6085,6607,2800,11052,10522,9150,1045,1028,11052,311,183,0,1
5076,50000,Male,University,Single,31.0,Payment delayed 1 month,Payment delayed 2 months,Payment delayed 2 months,Unknown,Unknown,Unknown,25859,26937,27687,28424,29311,30169,1800,1500,1500,1500,1500,1500,0
13524,80000,Female,High school,Single,55.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,78009,78616,49662,48867,48278,46773,2420,2000,1656,1693,1767,1581,0
10884,450000,Male,Graduate school,Married,53.0,Payed duly,Payed duly,Payed duly,Payed duly,Payed duly,Unknown,3873,3119,8970,1323,11990,8838,3128,9008,1323,12008,214,1327,0
18107,420000,Male,Graduate school,Single,36.0,Payed duly,Payed duly,Payed duly,Payment delayed 2 months,Payment delayed 2 months,Payment delayed 2 months,9464,37856,31429,22483,16437,-2474,40146,23040,63,104,23,50212,0
17624,180000,Female,Graduate school,Single,32.0,Payed duly,Payed duly,Payment delayed 2 months,Payment delayed 2 months,Unknown,Unknown,10831,17816,18247,33230,5168,0,7201,1000,0,103,0,0,1
29842,490000,Male,Graduate school,Married,49.0,Payed duly,Payed duly,Payed duly,Payed duly,Payed duly,Payed duly,19107,10190,10149,76760,8879,16705,10238,10191,77163,8921,16786,27662,0
10624,120000,Female,High school,Married,46.0,Payed duly,Payed duly,Unknown,Unknown,Unknown,Unknown,4940,0,0,0,0,0,0,0,0,0,0,0,1
16411,200000,Female,University,Single,38.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,14956,9023,4963,5418,5131,5741,5000,1155,1000,103,1000,109,0
6279,220000,Female,University,Married,36.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,136556,139453,142295,145127,148159,151462,5100,5163,5196,5372,5761,5396,0
3478,500000,Female,Graduate school,Single,36.0,Payed duly,Payed duly,Payed duly,Payed duly,Payed duly,Payed duly,10935,4079,3943,3338,1224,31022,4081,4283,3338,1224,31022,1088,0
13216,380000,Female,University,Married,51.0,Payment delayed 1 month,Unknown,Unknown,Unknown,Payed duly,Payed duly,0,0,0,0,630,1297,0,0,0,630,1613,1618,0
25508,120000,Female,Graduate school,Single,26.0,Payment delayed 1 month,Payed duly,Payed duly,Payed duly,Payed duly,Unknown,-93,936,0,680,0,0,1029,0,680,0,0,1381,0
9494,100000,Male,High school,Single,25.0,Payment delayed 2 months,Payment delayed 2 months,Payment delayed 2 months,Unknown,Unknown,Unknown,96889,102893,99176,80358,75007,76805,8513,128,3011,3000,3200,3400,1
2540,210000,Male,High school,Married,37.0,Payed duly,Payed duly,Payed duly,Payed duly,Payed duly,Payed duly,2359,1519,1939,1939,1939,1520,1519,1939,1939,1939,1520,2358,0
14284,10000,Male,University,Married,47.0,Unknown,Unknown,Unknown,Unknown,Unknown,Payed duly,8884,8689,9449,6376,6530,1506,1159,3001,350,3002,1606,6276,0
11289,280000,Female,Graduate school,Single,31.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1558,0,940,0,699,0,0,940,0,699,0,399,0
9411,110000,Male,University,Married,55.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,106670,108727,107386,78268,75846,75685,6000,3300,3012,3008,3000,3069,0
3997,60000,Male,University,Single,26.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,40171,37274,30203,30809,33323,33190,1491,2000,1092,3000,1353,2000,0
24137,150000,Male,Others,Single,28.0,Unknown,Unknown,Unknown,Unknown,Payed duly,Payed duly,15855,27241,20818,9864,3957,2205,18056,4065,1058,3976,2216,0,0
20847,160000,Male,Others,Married,45.0,Payment delayed 1 month,Payed duly,Payed duly,Unknown,Payed duly,Unknown,0,10427,0,0,1817,1817,10427,0,0,1817,0,4700,0
10827,160000,Female,University,Married,63.0,Payment delayed 1 month,Unknown,Payed duly,Payed duly,Payed duly,Payed duly,-2,-2,2647,1210,0,1886,0,2649,1210,0,1886,491,0
25885,290000,Female,University,Married,30.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,284054,283149,284434,275889,218834,220695,10222,11019,9019,8010,8002,8001,0
29734,500000,Male,University,Married,49.0,Payed duly,Payed duly,Payment delayed 2 months,Payed duly,Payed duly,Payed duly,1460,5594,5334,1911,1774,5351,5334,25,1920,1783,5377,237,1
24633,500000,Male,University,Married,46.0,Unknown,Unknown,Payed duly,Payed duly,Payed duly,Payed duly,157046,82603,37528,83629,20894,27217,1652,37550,83642,20894,24038,59021,0
702,10000,Female,High school,Single,22.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,8109,9778,8259,0,0,0,2000,1036,0,0,0,0,1
15384,140000,Female,University,Married,48.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,41241,42548,44552,46503,48418,49277,1996,3000,3000,3000,1790,1965,0
3430,240000,Female,University,Married,40.0,Payed duly,Payed duly,Payed duly,Unknown,Payed duly,Payment delayed 2 months,3571,2298,2632,904,5559,2748,2309,2637,2,5567,8,2730,1
27418,50000,Male,High school,Single,37.0,Payed duly,Unknown,Unknown,Unknown,Unknown,Unknown,20248,50797,53340,45661,20180,21155,45535,3500,1424,2000,1300,754,0
6043,130000,Male,University,Married,38.0,Payed duly,Payed duly,Payed duly,Payed duly,Payed duly,Payed duly,780,0,11440,3752,1824,390,0,11440,3752,1824,390,390,0
5539,500000,Male,Graduate school,Married,34.0,Unknown,Payed duly,Payed duly,Payed duly,Payed duly,Payed duly,33348,90852,42389,19238,34750,21464,90889,42398,19244,34750,21464,28557,0
13841,200000,Male,High school,Single,55.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,195507,182942,176158,159556,162943,156612,7048,6000,6000,5800,6000,6000,0
10055,240000,Female,Graduate school,Single,35.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,18336,19648,11138,11481,18265,4365,5118,5015,5000,10000,2000,5326,0
24290,340000,Male,University,Single,30.0,Unknown,Unknown,Payed duly,Payed duly,Unknown,Unknown,20865,2611,3255,57920,23207,22659,2000,3255,57920,22659,2000,1000,0
18522,100000,Female,Graduate school,Single,26.0,Payed duly,Payed duly,Payed duly,Payed duly,Payed duly,Payed duly,123,123,123,123,123,123,123,123,123,123,123,396,1
10992,230000,Female,Graduate school,Married,41.0,Payed duly,Payed duly,Payed duly,Unknown,Payed duly,Payed duly,1886,8013,3962,1410,1410,1410,8034,4007,0,1410,1410,1410,0
18044,170000,Male,University,Married,40.0,Payed duly,Payed duly,Payed duly,Payed duly,Payed duly,Payed duly,4599,3409,3790,2578,2100,2400,3409,6530,2578,2100,2400,6665,0
22756,120000,Female,University,Married,35.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,22148,21120,4746,0,0,0,1550,1000,0,0,0,0,0
29242,50000,Male,University,Single,24.0,Payed duly,Payed duly,Payed duly,Payed duly,Payed duly,Unknown,390,390,390,390,780,390,390,390,390,780,0,390,1
24396,300000,Male,High school,Married,31.0,Payment delayed 1 month,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,1
13680,90000,Male,High school,Married,38.0,Payment delayed 2 months,Payment delayed 2 months,Payment delayed 2 months,Unknown,Unknown,Unknown,28774,29420,28502,30162,17274,15243,1400,0,2041,1007,1015,330,0
18916,50000,Female,Graduate school,Single,29.0,Unknown,Payed duly,Unknown,Payed duly,Payed duly,Unknown,17250,8560,4725,8933,11784,9927,8560,1600,8933,11784,199,8287,0
24582,170000,Male,University,Married,33.0,Payed duly,Payment delayed 2 months,Payment delayed 2 months,Payed duly,Payed duly,Unknown,917,917,0,2038,0,0,0,0,2038,0,0,0,0
5531,190000,Female,University,Single,25.0,Payment delayed 1 month,Unknown,Payed duly,Unknown,Unknown,Payed duly,0,0,2251,2251,497,7681,0,2251,0,600,9289,6374,0
12576,50000,Female,University,Single,25.0,Payment delayed 3 months,Payment delayed 2 months,Payment delayed 2 months,Unknown,Unknown,Unknown,49081,50074,48610,17857,18369,19011,2063,0,800,800,1000,1000,1
2064,180000,Male,University,Married,26.0,Unknown,Unknown,Unknown,Payment delayed 2 months,Payed duly,Payed duly,175539,138825,51686,2594,171716,181693,3826,7000,0,171716,13400,0,1
15920,210000,Female,Graduate school,Single,28.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,74235,74108,59594,51877,44293,38215,4000,5000,2000,2540,3000,3000,0
19255,250000,Female,University,Single,41.0,Payed duly,Payed duly,Payed duly,Payed duly,Payed duly,Payed duly,312,-18,3600,-10,2022,3809,0,3618,0,2032,3827,3710,0
20359,20000,Male,University,Single,22.0,Payment delayed 3 months,Payment delayed 2 months,Payment delayed 2 months,Payment delayed 2 months,Payment delayed 3 months,Payment delayed 2 months,16132,16562,19279,20663,20043,19584,1000,3000,2000,0,0,1803,1
29533,50000,Male,Graduate school,Single,36.0,Payment delayed 1 month,Payment delayed 2 months,Unknown,Unknown,Unknown,Unknown,49395,50058,50753,0,0,0,1776,2374,0,0,0,0,0
8127,200000,Female,Graduate school,Single,35.0,Payed duly,Payed duly,Payed duly,Payed duly,Payed duly,Payed duly,909,2708,3514,2297,928,0,2711,3514,2297,928,0,2308,0
16273,30000,Female,,Married,31.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,9388,10387,10624,11539,11771,9075,1162,1229,1144,376,329,345,0
23862,300000,Male,Graduate school,Single,30.0,Payed duly,Payed duly,Payment delayed 2 months,Unknown,Unknown,Payed duly,121,2175,774,2774,2774,14190,3204,0,2000,0,15000,2043,0
28249,150000,Female,Graduate school,Married,33.0,Payment delayed 1 month,Payed duly,Payed duly,Payed duly,Unknown,Unknown,-3,350,0,863,863,0,353,0,863,0,0,0,0
14243,280000,Male,Graduate school,Single,27.0,Unknown,Unknown,Unknown,Unknown,Unknown,Payed duly,39664,28033,27292,16567,7021,10171,9022,10006,6000,1000,10200,7900,0
15698,260000,Male,University,Single,34.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,32324,24103,20158,12619,176498,172274,1503,2260,3030,170039,6227,6052,0
29445,100000,Male,University,Single,30.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,27869,29329,30294,31734,32323,33648,3500,3000,3500,1500,2000,2300,0
21353,50000,Male,Graduate school,Single,54.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,48092,35513,35230,32888,19624,20112,2500,2500,3000,2000,2000,2500,0
26644,30000,Male,University,Single,24.0,Payed duly,Payed duly,Payed duly,Payed duly,Payed duly,Payed duly,1473,390,390,390,0,780,390,390,390,0,780,0,1
19774,240000,Female,Graduate school,Married,37.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,86701,90251,92900,93876,91678,94280,5000,5000,3511,4000,4000,4000,0
5670,340000,Female,University,Married,40.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0
25687,360000,Female,Graduate school,Single,34.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,6276,16062,8539,8665,2132,745,16142,8630,8710,2142,748,3030,0
15821,130000,Female,Graduate school,Single,27.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,734,0,390,988,0,734,0,390,988,1990,0
17334,500000,Female,Graduate school,Married,37.0,Payment delayed 1 month,Payed duly,Payed duly,Payed duly,Payed duly,Unknown,0,2529,2971,184,64356,33348,2529,2971,200,38144,0,8479,0
4066,50000,Male,Graduate school,Single,25.0,Payed duly,Payed duly,Payed duly,Payed duly,Payed duly,Payed duly,25045,15180,6964,7604,2173,6586,15522,6964,7604,2173,6586,11890,0
17795,470000,Female,University,Married,54.0,Payment delayed 1 month,Payment delayed 2 months,Unknown,Unknown,Unknown,Unknown,358581,351295,358671,367492,374249,381132,0,13033,14800,14359,13897,14425,0
4512,280000,Male,Graduate school,Single,34.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,212093,220586,214180,226277,216716,232367,18685,15038,23084,11001,20000,10000,0
28371,100000,Female,High school,Married,40.0,Unknown,Payed duly,Payment delayed 2 months,Payment delayed 2 months,Unknown,Payed duly,3234,6163,3786,3789,2195,3691,6163,0,3809,0,3691,1328,0
1326,170000,Male,University,Married,48.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,137823,137199,136331,123913,122657,122225,5396,5000,5000,5000,5000,4000,0
16532,50000,Male,University,Married,26.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,48019,48992,49689,31368,9454,6020,2072,1769,1003,189,120,100,0
23110,310000,Female,University,Single,32.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,325056,327591,322273,272890,208257,206609,13294,12131,8543,10185,8290,7500,0
7131,200000,Female,University,Single,34.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,189279,195200,60278,58972,55731,99900,10000,5023,5000,5000,50000,4000,0
14676,100000,Male,Graduate school,Married,45.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,42049,43570,44601,45598,46752,48008,2200,2100,2000,2000,2010,2006,0
26810,60000,Male,University,Single,27.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,48307,48602,48750,48916,27743,28646,1768,1967,1424,972,2000,1300,0
709,20000,Male,University,Single,49.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,16326,17497,18456,18424,18800,10000,1441,1400,368,376,200,0,0
11864,50000,Male,University,Married,36.0,Payment delayed 1 month,Unknown,Unknown,Unknown,Unknown,Payed duly,0,0,0,0,0,4473,0,0,0,0,4473,1650,0
